gloss1,gloss2,Speaker,word_pair,distance,distance_norm,data_type
au revoir1468,coucou1011,Adeline,au revoir1468_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1469,coucou1011,Adeline,au revoir1469_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1470,coucou1011,Adeline,au revoir1470_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1471,coucou1011,Adeline,au revoir1471_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1472,coucou1011,Adeline,au revoir1472_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1473,coucou1011,Adeline,au revoir1473_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1474,coucou1011,Adeline,au revoir1474_coucou1011,9.434781748822136,0.7803862655759342,target
au revoir1475,coucou1011,Adeline,au revoir1475_coucou1011,9.434781748822136,0.7803862655759342,target
coucou1011,coucou1012,Adeline,coucou1011_coucou1012,0,0,target
bisou994,dodo1021,Adeline,bisou994_dodo1021,4.280311648918275,0.3540406669838985,target
bisou995,dodo1021,Adeline,bisou995_dodo1021,4.280311648918275,0.3540406669838985,target
bisou996,dodo1021,Adeline,bisou996_dodo1021,4.280311648918275,0.3540406669838985,target
bisou997,dodo1021,Adeline,bisou997_dodo1021,4.280311648918275,0.3540406669838985,target
bisou998,dodo1021,Adeline,bisou998_dodo1021,4.280311648918275,0.3540406669838985,target
bobo999,dodo1021,Adeline,bobo999_dodo1021,6.324555320336759,0.5231277457459134,target
bobo1000,dodo1021,Adeline,bobo1000_dodo1021,6.324555320336759,0.5231277457459134,target
bobo1001,dodo1021,Adeline,bobo1001_dodo1021,6.324555320336759,0.5231277457459134,target
chapeau1002,dodo1021,Adeline,chapeau1002_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1003,dodo1021,Adeline,chapeau1003_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1004,dodo1021,Adeline,chapeau1004_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1005,dodo1021,Adeline,chapeau1005_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1006,dodo1021,Adeline,chapeau1006_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1007,dodo1021,Adeline,chapeau1007_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1008,dodo1021,Adeline,chapeau1008_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1009,dodo1021,Adeline,chapeau1009_dodo1021,5.3781776031642305,0.4448492871455595,target
chapeau1010,dodo1021,Adeline,chapeau1010_dodo1021,5.3781776031642305,0.4448492871455595,target
coucou1011,dodo1021,Adeline,coucou1011_dodo1021,6,0.49628255513596364,target
coucou1012,dodo1021,Adeline,coucou1012_dodo1021,6,0.49628255513596364,target
coucou1013,dodo1021,Adeline,coucou1013_dodo1021,6,0.49628255513596364,target
coucou1014,dodo1021,Adeline,coucou1014_dodo1021,6,0.49628255513596364,target
coucou1015,dodo1021,Adeline,coucou1015_dodo1021,6,0.49628255513596364,target
coucou1016,dodo1021,Adeline,coucou1016_dodo1021,6,0.49628255513596364,target
coucou1017,dodo1021,Adeline,coucou1017_dodo1021,6,0.49628255513596364,target
coucou1018,dodo1021,Adeline,coucou1018_dodo1021,6,0.49628255513596364,target
coucou1019,dodo1021,Adeline,coucou1019_dodo1021,6,0.49628255513596364,target
coucou1020,dodo1021,Adeline,coucou1020_dodo1021,6,0.49628255513596364,target
maman1022,dodo1021,Adeline,dodo1021_maman1022,8.246211251235321,0.6820751316589995,target
maman1023,dodo1021,Adeline,dodo1021_maman1023,8.246211251235321,0.6820751316589995,target
maman1024,dodo1021,Adeline,dodo1021_maman1024,8.246211251235321,0.6820751316589995,target
oiseau1025,dodo1021,Adeline,dodo1021_oiseau1025,5.938822306027475,0.4912223180889619,target
papa1026,dodo1021,Adeline,dodo1021_papa1026,6.6332495807108,0.5486610084616192,target
papa1027,dodo1021,Adeline,dodo1021_papa1027,6.6332495807108,0.5486610084616192,target
papa1028,dodo1021,Adeline,dodo1021_papa1028,6.6332495807108,0.5486610084616192,target
vachou1030,dodo1021,Adeline,dodo1021_vachou1030,4.561552812808831,0.3773031808880681,target
voilà1031,dodo1021,Adeline,dodo1021_voilà1031,8.30543625736616,0.6869738545540922,target
voilà1032,dodo1021,Adeline,dodo1021_voilà1032,8.30543625736616,0.6869738545540922,target
voiture1033,dodo1021,Adeline,dodo1021_voiture1033,6.264054992217051,0.5181235361749446,target
voiture1034,dodo1021,Adeline,dodo1021_voiture1034,6.264054992217051,0.5181235361749446,target
encore1326,dodo1021,Adeline,dodo1021_encore1326,6.16227766016838,0.5097051504409386,target
encore1327,dodo1021,Adeline,dodo1021_encore1327,6.16227766016838,0.5097051504409386,target
encore1328,dodo1021,Adeline,dodo1021_encore1328,6.16227766016838,0.5097051504409386,target
encore1329,dodo1021,Adeline,dodo1021_encore1329,6.16227766016838,0.5097051504409386,target
encore1330,dodo1021,Adeline,dodo1021_encore1330,6.16227766016838,0.5097051504409386,target
encore1331,dodo1021,Adeline,dodo1021_encore1331,6.16227766016838,0.5097051504409386,target
encore1332,dodo1021,Adeline,dodo1021_encore1332,6.16227766016838,0.5097051504409386,target
encore1333,dodo1021,Adeline,dodo1021_encore1333,6.16227766016838,0.5097051504409386,target
encore1334,dodo1021,Adeline,dodo1021_encore1334,6.16227766016838,0.5097051504409386,target
encore1335,dodo1021,Adeline,dodo1021_encore1335,6.16227766016838,0.5097051504409386,target
